"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ENROLMENT","15_19_MEN","PC_AGE","A","2014",85.6,
"AUS","ENROLMENT","20_29_MEN","PC_AGE","A","2014",34.3,
"AUS","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",87.9,
"AUS","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",35.1,
"AUT","ENROLMENT","15_19_MEN","PC_AGE","A","2014",77.9,
"AUT","ENROLMENT","20_29_MEN","PC_AGE","A","2014",24.5,
"AUT","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",81.5,
"AUT","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",28,
"BEL","ENROLMENT","15_19_MEN","PC_AGE","A","2014",90.5,
"BEL","ENROLMENT","20_29_MEN","PC_AGE","A","2014",26.4,
"BEL","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",94.4,
"BEL","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",33.1,
"CZE","ENROLMENT","15_19_MEN","PC_AGE","A","2014",89.7,
"CZE","ENROLMENT","20_29_MEN","PC_AGE","A","2014",23,
"CZE","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",91.2,
"CZE","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",29.5,
"DNK","ENROLMENT","15_19_MEN","PC_AGE","A","2014",87.1,
"DNK","ENROLMENT","20_29_MEN","PC_AGE","A","2014",41.7,
"DNK","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",86.9,
"DNK","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",48.6,
"FIN","ENROLMENT","15_19_MEN","PC_AGE","A","2014",85.6,
"FIN","ENROLMENT","20_29_MEN","PC_AGE","A","2014",38.3,
"FIN","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",86.4,
"FIN","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",44.2,
"FRA","ENROLMENT","15_19_MEN","PC_AGE","A","2014",83.9,
"FRA","ENROLMENT","20_29_MEN","PC_AGE","A","2014",19.5,
"FRA","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",86.4,
"FRA","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",22.9,
"DEU","ENROLMENT","15_19_MEN","PC_AGE","A","2014",90.5,
"DEU","ENROLMENT","20_29_MEN","PC_AGE","A","2014",35.7,
"DEU","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",88.9,
"DEU","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",33.7,
"GRC","ENROLMENT","15_19_MEN","PC_AGE","A","2014",82.4,
"GRC","ENROLMENT","20_29_MEN","PC_AGE","A","2014",28,
"GRC","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",84.2,
"GRC","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",28.2,
"HUN","ENROLMENT","15_19_MEN","PC_AGE","A","2014",85.7,
"HUN","ENROLMENT","20_29_MEN","PC_AGE","A","2014",23.7,
"HUN","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",87.2,
"HUN","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",26.8,
"ISL","ENROLMENT","15_19_MEN","PC_AGE","A","2014",,"M"
"ISL","ENROLMENT","20_29_MEN","PC_AGE","A","2014",,"M"
"ISL","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",,"M"
"ISL","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",,"M"
"IRL","ENROLMENT","15_19_MEN","PC_AGE","A","2014",92.5,
"IRL","ENROLMENT","20_29_MEN","PC_AGE","A","2014",25.9,
"IRL","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",97.2,
"IRL","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",26.7,
"ITA","ENROLMENT","15_19_MEN","PC_AGE","A","2014",77.2,
"ITA","ENROLMENT","20_29_MEN","PC_AGE","A","2014",21.7,
"ITA","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",76.7,
"ITA","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",27.5,
"JPN","ENROLMENT","15_19_MEN","PC_AGE","A","2014",57.6,
"JPN","ENROLMENT","20_29_MEN","PC_AGE","A","2014",0,
"JPN","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",58.7,
"JPN","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",0,
"KOR","ENROLMENT","15_19_MEN","PC_AGE","A","2014",,"M"
"KOR","ENROLMENT","20_29_MEN","PC_AGE","A","2014",,"M"
"KOR","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",,"M"
"KOR","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",,"M"
"LUX","ENROLMENT","15_19_MEN","PC_AGE","A","2014",75.3,
