"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GRADRATE","UPPSRY_MEN","PC","A","2014",,"M"
"AUS","GRADRATE","UPPSRY_WOMEN","PC","A","2014",,"M"
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2014",89.283,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2014",90.311,
"BEL","GRADRATE","UPPSRY_MEN","PC","A","2014",,"M"
"BEL","GRADRATE","UPPSRY_WOMEN","PC","A","2014",,"M"
"CZE","GRADRATE","UPPSRY_MEN","PC","A","2014",74.179,
"CZE","GRADRATE","UPPSRY_WOMEN","PC","A","2014",73.719,
"DNK","GRADRATE","UPPSRY_MEN","PC","A","2014",89.018,
"DNK","GRADRATE","UPPSRY_WOMEN","PC","A","2014",99.157,
"FIN","GRADRATE","UPPSRY_MEN","PC","A","2014",93.655,
"FIN","GRADRATE","UPPSRY_WOMEN","PC","A","2014",100.353,
"FRA","GRADRATE","UPPSRY_MEN","PC","A","2014",,"M"
"FRA","GRADRATE","UPPSRY_WOMEN","PC","A","2014",,"M"
"DEU","GRADRATE","UPPSRY_MEN","PC","A","2014",91.747,
"DEU","GRADRATE","UPPSRY_WOMEN","PC","A","2014",89.519,
"GRC","GRADRATE","UPPSRY_MEN","PC","A","2014",,"M"
"GRC","GRADRATE","UPPSRY_WOMEN","PC","A","2014",,"M"
"HUN","GRADRATE","UPPSRY_MEN","PC","A","2014",84.979,
"HUN","GRADRATE","UPPSRY_WOMEN","PC","A","2014",90.615,
"IRL","GRADRATE","UPPSRY_MEN","PC","A","2014",,"M"
"IRL","GRADRATE","UPPSRY_WOMEN","PC","A","2014",,"M"
"ITA","GRADRATE","UPPSRY_MEN","PC","A","2014",91.728,
"ITA","GRADRATE","UPPSRY_WOMEN","PC","A","2014",94.426,
"JPN","GRADRATE","UPPSRY_MEN","PC","A","2014",95.663,
"JPN","GRADRATE","UPPSRY_WOMEN","PC","A","2014",97.721,
"KOR","GRADRATE","UPPSRY_MEN","PC","A","2014",94.859,
"KOR","GRADRATE","UPPSRY_WOMEN","PC","A","2014",94.33,
"LUX","GRADRATE","UPPSRY_MEN","PC","A","2014",73.136,
"LUX","GRADRATE","UPPSRY_WOMEN","PC","A","2014",74.684,
"MEX","GRADRATE","UPPSRY_MEN","PC","A","2014",48.998,
"MEX","GRADRATE","UPPSRY_WOMEN","PC","A","2014",53.702,
"NLD","GRADRATE","UPPSRY_MEN","PC","A","2014",90.474,
"NLD","GRADRATE","UPPSRY_WOMEN","PC","A","2014",99.273,
"NZL","GRADRATE","UPPSRY_MEN","PC","A","2014",91.57,
"NZL","GRADRATE","UPPSRY_WOMEN","PC","A","2014",99.565,
"NOR","GRADRATE","UPPSRY_MEN","PC","A","2014",79.447,
"NOR","GRADRATE","UPPSRY_WOMEN","PC","A","2014",89.612,
"POL","GRADRATE","UPPSRY_MEN","PC","A","2014",79.991,
"POL","GRADRATE","UPPSRY_WOMEN","PC","A","2014",85.074,
"PRT","GRADRATE","UPPSRY_MEN","PC","A","2014",94.975,
